Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
31,Estimates,Ethiopia,,231,Country/Area,910,"18,128.03","18,466.97","18,819.70","19,184.29","19,560.01","19,947.29","20,347.81","20,764.45","21,201.03","21,661.99","22,151.28","22,671.19","23,221.39","23,798.42","24,397.01","25,013.63","25,641.04","26,280.14","26,944.39","27,652.72","28,415.08","29,248.65","30,140.80","31,036.67","31,861.35","32,566.86","33,128.15","33,577.24","33,993.30","34,487.81","35,141.70","35,984.53","36,995.25","38,142.68","39,374.35","40,652.15","41,965.70","43,329.24","44,757.21","46,272.31","47,887.86","49,609.98","51,423.59","53,295.56","55,180.99","57,047.91","58,883.53","60,697.44","62,507.72","64,343.01","66,224.81","68,159.42","70,142.09","72,170.58","74,239.51","76,346.31","78,489.21","80,674.34","82,916.24","85,233.92","87,639.96","90,139.93","92,726.98","95,385.79","98,094.26","100,835.45","103,603.46","106,399.93","109,224.41","112,078.73","114,963.58"
32,Estimates,Kenya,,404,Country/Area,910,"6,076.76","6,242.11","6,415.96","6,598.17","6,788.71","6,987.66","7,195.22","7,411.77","7,637.73","7,873.62","8,120.08","8,377.69","8,647.00","8,928.51","9,222.69","9,530.16","9,851.45","10,187.49","10,539.91","10,910.68","11,301.39","11,713.05","12,146.07","12,600.80","13,077.34","13,575.90","14,096.26","14,638.89","15,205.38","15,797.77","16,417.20","17,063.87","17,736.33","18,431.76","19,146.40","19,877.08","20,622.56","21,382.11","22,153.69","22,935.09","23,724.57","24,521.71","25,326.08","26,136.22","26,950.51","27,768.30","28,589.46","29,415.66","30,250.49","31,098.76","31,964.56","32,848.57","33,751.75","34,678.78","35,635.27","36,624.90","37,649.04","38,705.93","39,791.98","40,901.80","42,030.68","43,178.27","44,343.47","45,519.99","46,700.06","47,878.34","49,051.53","50,221.15","51,392.57","52,573.97","53,771.30"
33,Estimates,Madagascar,,450,Country/Area,910,"4,083.55","4,168.39","4,256.76","4,348.72","4,444.29","4,543.54","4,646.58","4,753.53","4,864.52","4,979.75","5,099.37","5,223.56","5,352.50","5,486.32","5,625.16","5,769.22","5,918.59","6,073.53","6,234.47","6,401.92","6,576.31","6,757.85","6,946.62","7,142.63","7,345.77","7,556.03","7,773.45","7,998.16","8,230.21","8,469.68","8,716.55","8,971.34","9,234.14","9,504.28","9,780.87","10,063.49","10,352.12","10,647.75","10,952.40","11,268.65","11,598.65","11,942.81","12,301.34","12,675.47","13,066.54","13,475.40","13,902.70","14,347.86","14,808.79","15,282.52","15,766.81","16,260.93","16,765.12","17,279.14","17,802.99","18,336.72","18,880.27","19,433.52","19,996.48","20,569.12","21,151.64","21,743.97","22,346.64","22,961.26","23,589.90","24,234.08","24,894.37","25,570.51","26,262.31","26,969.31","27,691.02"
34,Estimates,Malawi,,454,Country/Area,910,"2,953.87","3,011.79","3,072.39","3,135.69","3,201.72","3,270.55","3,342.25","3,416.93","3,494.69","3,575.67","3,659.98","3,747.76","3,839.05","3,933.91","4,032.36","4,134.46","4,240.43","4,350.46","4,464.43","4,582.20","4,703.78","4,829.09","4,958.56","5,093.37","5,235.07","5,384.80","5,545.65","5,717.95","5,896.86","6,075.49","6,250.43","6,412.38","6,565.99","6,737.92","6,964.61","7,268.27","7,666.39","8,141.14","8,636.69","9,075.57","9,404.50","9,600.36","9,685.97","9,710.34","9,745.70","9,844.42","10,022.78","10,264.91","10,552.35","10,854.33","11,148.75","11,432.00","11,713.66","12,000.18","12,301.84","12,625.95","12,973.69","13,341.81","13,727.90","14,128.16","14,539.61","14,962.12","15,396.01","15,839.29","16,289.55","16,745.31","17,205.25","17,670.19","18,143.22","18,628.75","19,129.96"
35,Estimates,Mauritius,1,480,Country/Area,910,493.258,506.428,521.191,537.05,553.622,570.65,587.952,605.487,623.274,641.423,660.025,679.05,698.31,717.407,735.86,753.283,769.56,784.774,799.143,812.941,826.451,839.594,852.394,865.17,878.356,892.219,906.918,922.329,937.818,952.581,966.039,978.071,988.889,998.62,"1,007.50","1,015.76","1,023.28","1,030.18","1,037.25","1,045.59","1,055.87","1,068.43","1,082.95","1,098.60","1,114.15","1,128.68","1,141.95","1,154.14","1,165.29","1,175.57","1,185.15","1,193.91","1,201.81","1,208.99","1,215.67","1,222.01","1,228.09","1,233.89","1,239.26","1,244.00","1,247.95","1,251.07","1,253.49","1,255.46","1,257.35","1,259.46","1,261.87","1,264.50","1,267.18","1,269.67","1,271.77"
36,Estimates,Mayotte,2,175,Country/Area,910,15.138,15.732,16.444,17.244,18.101,18.994,19.897,20.839,21.833,22.889,24.016,25.24,26.537,27.887,29.22,30.52,31.783,33.009,34.251,35.553,36.964,38.518,40.199,41.961,43.733,45.48,47.188,48.888,50.697,52.747,55.136,57.913,61.044,64.494,68.205,72.108,76.187,80.445,84.941,89.709,94.779,100.164,105.826,111.633,117.47,123.186,128.753,134.206,139.575,144.93,150.331,155.756,161.204,166.715,172.345,178.103,184.026,190.098,196.269,202.494,208.716,214.937,221.147,227.376,233.658,240.011,246.46,252.962,259.526,266.153,272.813
37,Estimates,Mozambique,,508,Country/Area,910,"5,958.98","6,059.45","6,165.05","6,275.23","6,389.68","6,508.40","6,631.67","6,760.11","6,894.49","7,035.80","7,184.87","7,342.12","7,507.31","7,679.47","7,857.11","8,039.22","8,225.92","8,417.70","8,614.45","8,816.06","9,022.75","9,232.66","9,446.24","9,668.66","9,906.96","10,165.22","10,443.95","10,738.53","11,041.21","11,341.41","11,630.19","11,913.09","12,189.82","12,439.77","12,636.12","12,764.39","12,808.57","12,786.35","12,758.00","12,805.95","12,987.29","13,328.03","13,806.00","14,370.95","14,948.05","15,483.28","15,960.45","16,397.18","16,813.95","17,244.18","17,711.93","18,221.88","18,764.15","19,331.10","19,910.55","20,493.93","21,080.11","21,673.32","22,276.60","22,894.72","23,531.57","24,187.50","24,862.67","25,560.75","26,286.19","27,042.00","27,829.93","28,649.01","29,496.01","30,366.04","31,255.44"
38,Estimates,Réunion,2,638,Country/Area,910,248.114,259.294,268.481,276.524,284.083,291.663,299.575,307.982,316.882,326.165,335.694,345.407,355.425,366.085,377.797,390.773,405.286,420.996,436.688,450.742,462.029,470.116,475.476,478.91,481.689,484.785,488.348,492.289,496.906,502.499,509.264,517.415,526.95,537.401,548.141,558.704,568.913,578.938,588.985,599.447,610.584,622.413,634.793,647.59,660.565,673.543,686.462,699.307,712,724.484,736.714,748.653,760.25,771.377,781.861,791.598,800.533,808.728,816.325,823.529,830.507,837.336,843.984,850.506,856.96,863.359,869.742,876.131,882.531,888.932,895.308
39,Estimates,Rwanda,,646,Country/Area,910,"2,186.18","2,251.13","2,314.18","2,379.69","2,450.36","2,527.29","2,609.86","2,695.82","2,781.61","2,862.80","2,935.58","2,998.33","3,052.94","3,105.42","3,164.26","3,235.54","3,321.67","3,420.90","3,529.84","3,643.24","3,757.35","3,871.43","3,987.22","4,106.41","4,231.58","4,364.71","4,506.11","4,655.39","4,812.87","4,978.81","5,153.31","5,329.25","5,504.85","5,690.99","5,902.85","6,146.88","6,443.75","6,779.98","7,088.19","7,276.98","7,288.88","7,083.93","6,702.24","6,263.76","5,936.25","5,836.49","6,013.11","6,419.90","6,962.80","7,501.24","7,933.69","8,231.15","8,427.06","8,557.16","8,680.52","8,840.22","9,043.34","9,273.76","9,524.53","9,782.77","10,039.34","10,293.33","10,549.67","10,811.54","11,083.63","11,369.07","11,668.83","11,980.96","12,301.97","12,626.94","12,952.21"
40,Estimates,Seychelles,,690,Country/Area,910,36.325,36.904,37.475,38.003,38.505,38.963,39.394,39.837,40.32,40.904,41.611,42.46,43.461,44.546,45.678,46.787,47.866,48.916,49.998,51.132,52.371,53.714,55.127,56.609,58.096,59.584,61.044,62.483,63.85,65.114,66.237,67.242,68.12,68.837,69.402,69.772,69.941,69.946,69.925,70.089,70.572,71.446,72.661,74.071,75.444,76.653,77.597,78.357,79.064,79.904,80.998,82.413,84.077,85.807,87.388,88.652,89.528,90.082,90.45,90.788,91.273,91.882,92.608,93.397,94.214,94.981,95.711,96.418,97.094,97.741,98.34
41,Estimates,Somalia,,706,Country/Area,910,"2,264.08","2,307.68","2,351.94","2,397.19","2,443.65","2,491.54","2,541.02","2,592.15","2,645.03","2,699.62","2,755.97","2,814.13","2,874.22","2,936.48","3,001.16","3,068.47","3,143.65","3,227.84","3,312.74","3,386.74","3,444.57","3,472.36","3,479.79","3,512.63","3,632.99","3,880.29","4,278.97","4,802.13","5,375.02","5,892.76","6,281.14","6,511.12","6,608.04","6,618.59","6,614.71","6,648.63","6,736.75","6,862.27","7,005.23","7,133.26","7,225.09","7,274.03","7,295.38","7,315.86","7,372.59","7,491.65","7,682.68","7,936.12","8,235.06","8,553.60","8,872.25","9,186.72","9,501.34","9,815.41","10,130.25","10,446.86","10,763.90","11,080.12","11,397.19","11,717.69","12,043.89","12,376.31","12,715.49","13,063.71","13,423.57","13,797.20","14,185.64","14,589.17","15,008.23","15,442.91","15,893.22"
42,Estimates,South Sudan,,728,Country/Area,910,"2,482.31","2,501.57","2,525.20","2,552.93","2,584.51","2,619.72","2,658.30","2,700.08","2,744.85","2,792.44","2,842.72","2,895.61","2,951.04","3,009.06","3,069.74","3,133.16","3,199.35","3,268.39","3,340.43","3,415.57","3,494.01","3,575.90","3,661.44","3,750.78","3,844.09","3,941.61","4,041.79","4,144.55","4,253.09","4,371.71","4,502.60","4,646.48","4,799.44","4,953.15","5,096.48","5,220.75","5,328.17","5,419.81","5,485.29","5,511.58","5,492.62","5,420.18","5,305.45","5,185.71","5,111.37","5,118.08","5,221.93","5,411.65","5,661.93","5,933.88","6,199.40","6,447.79","6,688.23","6,935.67","7,213.35","7,535.93","7,907.41","8,315.14","8,736.93","9,142.26","9,508.37","9,830.70","10,113.65","10,355.03","10,554.88","10,715.66","10,832.52","10,910.77","10,975.92","11,062.11","11,193.73"
43,Estimates,Uganda,,800,Country/Area,910,"5,158.19","5,307.72","5,452.86","5,596.32","5,740.77","5,888.79","6,042.93","6,205.62","6,379.22","6,565.84","6,767.09","6,983.82","7,215.80","7,461.64","7,719.11","7,986.06","8,263.43","8,550.44","8,841.16","9,127.86","9,405.61","9,671.86","9,929.64","10,186.45","10,453.03","10,737.40","11,042.98","11,368.62","11,712.54","12,071.14","12,442.33","12,825.08","13,221.99","13,638.73","14,082.87","14,559.36","15,070.32","15,612.75","16,180.13","16,763.04","17,354.40","17,953.53","18,561.67","19,175.99","19,793.54","20,413.16","21,032.82","21,655.39","22,290.79","22,952.41","23,650.16","24,388.97","25,167.26","25,980.55","26,821.30","27,684.59","28,571.48","29,486.34","30,431.73","31,411.10","32,428.16","33,476.77","34,558.70","35,694.52","36,911.53","38,225.45","39,649.17","41,166.59","42,729.03","44,269.59","45,741"
44,Estimates,United Republic of Tanzania,3,834,Country/Area,910,"7,649.77","7,844.89","8,050.98","8,267.42","8,493.75","8,729.67","8,974.99","9,229.73","9,493.99","9,768.04","10,052.15","10,346.70","10,651.95","10,968.20","11,295.68","11,634.84","11,985.44","12,348.19","12,725.52","13,120.59","13,535.49","13,971.70","14,428.34","14,902.27","15,388.93","15,885.23","16,390.16","16,905.22","17,432.76","17,976.22","18,538.26","19,120.68","19,723.32","20,344.55","20,981.78","21,633.80","22,296.28","22,971.21","23,670.81","24,411.74","25,203.85","26,056.61","26,961.20","27,887.20","28,792.65","29,649.13","30,444.52","31,192.85","31,924.20","32,682.24","33,499.18","34,385.85","35,334.79","36,337.78","37,379.77","38,450.32","39,548.67","40,681.42","41,853.94","43,073.83","44,346.53","45,673.52","47,053.03","48,483.13","49,960.56","51,482.64","53,049.23","54,660.35","56,313.44","58,005.46","59,734.21"
45,Estimates,Zambia,,894,Country/Area,910,"2,310.44","2,368.61","2,431.34","2,498.46","2,569.75","2,644.98","2,723.87","2,806.17","2,891.58","2,979.84","3,070.78","3,164.33","3,260.65","3,360.10","3,463.21","3,570.47","3,681.95","3,797.88","3,918.87","4,045.74","4,179.06","4,319.23","4,466.17","4,619.55","4,778.72","4,943.28","5,112.82","5,287.54","5,468.26","5,656.15","5,851.82","6,055.36","6,265.87","6,481.91","6,701.55","6,923.15","7,146.97","7,372.84","7,598.27","7,820.20","8,036.85","8,246.66","8,451.35","8,656.48","8,869.75","9,096.61","9,339.74","9,597.61","9,866.47","10,140.56","10,415.94","10,692.20","10,971.70","11,256.74","11,550.64","11,856.24","12,173.52","12,502.96","12,848.53","13,215.14","13,605.99","14,023.20","14,465.15","14,926.55","15,399.79","15,879.37","16,363.45","16,853.61","17,351.71","17,861.03","18,383.96"
46,Estimates,Zimbabwe,,716,Country/Area,910,"2,746.85","2,832.25","2,922.04","3,015.66","3,112.78","3,213.29","3,317.28","3,425.07","3,537.17","3,654.17","3,776.68","3,905.04","4,039.21","4,178.73","4,322.85","4,471.18","4,623.34","4,779.83","4,941.90","5,111.33","5,289.31","5,476.98","5,673.91","5,877.73","6,085.08","6,293.88","6,502.57","6,712.83","6,929.66","7,160.02","7,408.63","7,675.58","7,958.24","8,254.75","8,562.26","8,877.49","9,200.15","9,527.20","9,849.13","10,153.85","10,432.41","10,681.01","10,900.51","11,092.78","11,261.75","11,410.72","11,541.22","11,653.25","11,747.08","11,822.72","11,881.48","11,923.91","11,954.29","11,982.22","12,019.91","12,076.70","12,155.50","12,255.92","12,379.55","12,526.96","12,697.73","12,894.32","13,115.15","13,350.38","13,586.71","13,814.64","14,030.34","14,236.60","14,438.81","14,645.47","14,862.93"
47,Estimates,Middle Africa,,911,Subregion,947,"26,453.76","26,924.02","27,431.10","27,966.48","28,523.67","29,098.32","29,688.19","30,293.22","30,915.07","31,556.95","32,222.19","32,912.88","33,628.77","34,366.75","35,122.15","35,893.21","36,678.01","37,482.03","38,320.02","39,211.53","40,170.68","41,203.36","42,306.19","43,471.98","44,689.04","45,948.71","47,251.85","48,601.41","49,993.13","51,421.88","52,885.38","54,384.10","55,923.49","57,512.88","59,164.70","60,890.05","62,683.38","64,547.11","66,509.05","68,604.83","70,855.12","73,283.54","75,871.12","78,544.40","81,201.90","83,775.18","86,236.38","88,620.04","90,996.94","93,469.85","96,115.55","98,955.62","101,974.57","105,166.96","108,515.91","112,008.24","115,648.28","119,442.04","123,378.45","127,442.33","131,622.13","135,912.68","140,314.56","144,828.58","149,457.57","154,203.23","159,064.78","164,039.00","169,121.88","174,308.43","179,595.13"
48,Estimates,Angola,,24,Country/Area,911,"4,548.02","4,616.55","4,713.16","4,823.33","4,935.96","5,043.25","5,140.91","5,228.01","5,306.54","5,380.72","5,454.94","5,531.45","5,608.50","5,679.41","5,735.00","5,770.57","5,781.31","5,774.44","5,771.97","5,803.68","5,890.36","6,041.24","6,248.97","6,497.28","6,761.62","7,023.99","7,279.63","7,533.81","7,790.77","8,058.11","8,341.29","8,640.48","8,952.97","9,278.10","9,614.76","9,961.99","10,320.12","10,689.25","11,068.05","11,454.78","11,848.39","12,248.90","12,657.36","13,075.04","13,503.75","13,945.21","14,400.72","14,871.57","15,359.60","15,866.87","16,395.48","16,945.75","17,519.42","18,121.48","18,758.14","19,433.60","20,149.91","20,905.36","21,695.64","22,514.28","23,356.25","24,220.66","25,107.93","26,015.79","26,941.77","27,884.38","28,842.48","29,816.77","30,809.79","31,825.30","32,866.27"
49,Estimates,Cameroon,,120,Country/Area,911,"4,307.02","4,383.96","4,462.13","4,541.79","4,623.28","4,707","4,793.39","4,883.01","4,976.41","5,074.20","5,176.92","5,285.02","5,398.73","5,518.10","5,643.04","5,773.54","5,909.87","6,052.42","6,201.41","6,357.10","6,519.75","6,689.66","6,867.17","7,052.85","7,247.28","7,451.06","7,664.40","7,887.57","8,121.08","8,365.56","8,621.41","8,888.53","9,166.81","9,456.50","9,757.85","10,070.81","10,395.48","10,731.06","11,075.42","11,425.81","11,780.09","12,137.91","12,499.50","12,864.09","13,230.98","13,599.98","13,970.81","14,344.44","14,723.77","15,112.60","15,513.94","15,928.91","16,357.61","16,800.87","17,259.32","17,733.41","18,223.68","18,730.28","19,252.67","19,789.92","20,341.24","20,906.39","21,485.27","22,077.30","22,681.85","23,298.38","23,926.55","24,566.07","25,216.26","25,876.39","26,545.86"
50,Estimates,Central African Republic,,140,Country/Area,911,"1,326.66","1,341.72","1,356.12","1,370.52","1,385.45","1,401.34","1,418.48","1,437.06","1,457.12","1,478.68","1,501.67","1,526.06","1,551.91","1,579.38","1,608.62","1,639.71","1,673.02","1,708.31","1,744.20","1,778.87","1,811.16","1,840.52","1,867.79","1,894.85","1,924.39","1,958.37","1,997.02","2,039.91","2,087.66","2,140.78","2,199.36","2,264.44","2,335.34","2,408.32","2,478.38","2,542.17","2,597.77","2,646.84","2,693.97","2,745.74","2,806.74","2,878.51","2,959.24","3,046.15","3,135.02","3,222.66","3,308.24","3,392.43","3,475.49","3,558.02","3,640.42","3,722.02","3,802.13","3,881.19","3,959.88","4,038.38","4,118.08","4,198.00","4,273.37","4,337.62","4,386.77","4,418.64","4,436.41","4,447.95","4,464.17","4,493.17","4,537.68","4,596.02","4,666.38","4,745.18","4,829.76"
51,Estimates,Chad,,148,Country/Area,911,"2,502.32","2,543.88","2,588.87","2,636.25","2,685.19","2,735.21","2,786.05","2,837.77","2,890.64","2,945.10","3,001.60","3,060.37","3,121.23","3,183.58","3,246.53","3,309.58","3,372.18","3,434.82","3,499.37","3,568.40","3,643.61","3,726.19","3,815.25","3,907.89","3,999.92","4,088.57","4,173.13","4,255.24","4,337.29","4,422.74","4,514.43","4,612.86","4,718.16","4,832.32","4,957.56","5,095.40","5,247.28","5,412.84","5,589.62","5,773.93","5,963.25","6,157.09","6,356.74","6,563.93","6,781.06","7,010.16","7,250.97","7,503.49","7,770.05","8,053.53","8,355.65","8,678.05","9,019.23","9,373.91","9,734.76","10,096.63","10,457.12","10,818.03","11,183.59","11,560.14","11,952.13","12,360.99","12,784.75","13,220.43","13,663.56","14,110.97","14,561.66","15,016.76","15,477.73","15,946.88","16,425.86"
52,Estimates,Congo,,178,Country/Area,911,827.246,842.483,858.407,875.106,892.633,911.033,930.381,950.719,972.1,994.599,"1,018.25","1,043.12","1,069.24","1,096.64","1,125.35","1,155.39","1,186.78","1,219.55","1,253.76","1,289.52","1,326.89","1,365.89","1,406.51","1,448.63","1,492.06","1,536.66","1,582.36","1,629.22","1,677.33","1,726.87","1,777.93","1,830.63","1,884.87","1,940.45","1,996.99","2,054.31","2,112.36","2,171.32","2,231.46","2,293.16","2,356.74","2,422.31","2,489.95","2,559.88","2,632.35","2,707.53","2,785.82","2,867.28","2,951.65","3,038.43","3,127.42","3,217.93","3,310.38","3,406.92","3,510.47","3,622.78","3,745.14","3,876.12","4,011.49","4,145.40","4,273.74","4,394.84","4,510.20","4,622.76","4,736.97","4,856.09","4,981.00","5,110.70","5,244.36","5,380.50","5,518.09"
